Name;Location;Diameter;Age;Latitude;Longitude;URL
Tabun-Khara-Obo;Mongolia;1.3;150 ± 20 million;44.1333;109.6500;https://en.wikipedia.org/wiki/Tabun-Khara-Obo_crater
Wabar;Saudi Arabia;0.116;159;21.5000;50.4667;https://en.wikipedia.org/wiki/Wabar_craters
Xiuyan crater;China;1.8;~50,000;40.3500;123.4500;https://en.wikipedia.org/w/index.php?title=Xiuyan_crater&action=edit&redlink=1
Yilan crater;China;1.85;49,300 ± 3,200;46.3850;129.3125;https://en.wikipedia.org/wiki/Yilan_crater
Zhamanshin;Kazakhstan;14;900,000 ± 100,000;48.4000;60.9667;https://en.wikipedia.org/wiki/Zhamanshin_crater
Agoudal;Morocco;3?;105 ka?;31.9833;-5.5000;
Amguid;Algeria;0.45;< 100,000;26.0833;4.4000;https://en.wikipedia.org/wiki/Amguid_crater
Aorounga;Chad;12.6;< 345 million;19.1000;19.2500;https://en.wikipedia.org/wiki/Aorounga_crater
Aouelloul;Mauritania;0.39;3.0 ± 0.3 million;20.2500;-12.6833;https://en.wikipedia.org/wiki/Aouelloul_crater
BP Structure;Libya;2;< 120 million;25.3167;24.3167;https://en.wikipedia.org/wiki/BP_Structure
Bosumtwi;Ghana;10.5;1.07 million;6.5000;-1.4167;https://en.wikipedia.org/wiki/Bosumtwi_crater
Gweni-Fada;Chad;14;< 345 million;17.4167;21.7500;https://en.wikipedia.org/wiki/Gweni-Fada_crater
Kalkkop;South Africa;0.64;0.25 million;-32.7167;24.4333;https://en.wikipedia.org/wiki/Kalkkop_crater
Kamil;Egypt;0.045;< 2000;22.0183;26.0875;https://en.wikipedia.org/wiki/Kamil_Crater
Kgagodi;Botswana;3.5;< 180 million;-22.4833;27.5833;https://en.wikipedia.org/wiki/Kgagodi_crater
Luizi;DRC;17;< 575 million;-10.1667;28.0000;https://en.wikipedia.org/wiki/Luizi_crater
Morokweng;South Africa;70;145.0 ± 0.8 million;-26.4667;23.5333;https://en.wikipedia.org/wiki/Morokweng_impact_structure
Oasis;Libya;18;< 120 million;24.5833;24.4000;https://en.wikipedia.org/wiki/Oasis_crater
Ouarkziz;Algeria;3.5;< 70 million;29.0000;-7.5500;https://en.wikipedia.org/wiki/Ouarkziz_crater
Roter Kamm;Namibia;2.5;3.7 ± 0.3 million;-27.7667;16.3000;https://en.wikipedia.org/wiki/Roter_Kamm_crater
Talemzane;Algeria;1.75;< 3 million;33.3167;4.0333;https://en.wikipedia.org/wiki/Talemzane_crater
Tenoumer;Mauritania;1.9;1.57 ± 0.14 million;22.9167;-10.4000;https://en.wikipedia.org/wiki/Tenoumer_crater
Tin Bider;Algeria;6;< 70 million;27.6000;5.1167;https://en.wikipedia.org/wiki/Tin_Bider_crater
Tswaing;South Africa;1.13;0.220 ± 0.052 million;-25.4083;28.0828;https://en.wikipedia.org/wiki/Tswaing_crater
Vredefort;South Africa;300;2023 ± 4 million;-27.0000;27.5000;https://en.wikipedia.org/wiki/Vredefort_impact_structure
Brent;Ontario;3.8;396 ± 20;46.0833;-78.4833;https://en.wikipedia.org/wiki/Brent_crater
Carswell;Saskatchewan;39;115 ± 10;58.4500;-109.5000;https://en.wikipedia.org/wiki/Carswell_crater
Charlevoix;Quebec;54;342 ± 15;47.5333;-70.3000;https://en.wikipedia.org/wiki/Charlevoix_impact_structure
Couture;Quebec;8;430 ± 25;60.1333;-75.3333;https://en.wikipedia.org/wiki/Couture_crater
Deep Bay;Saskatchewan;13;99 ± 4;56.4000;-102.9833;https://en.wikipedia.org/wiki/Deep_Bay_crater
Eagle Butte;Alberta;10;< 65;49.7000;-110.5000;https://en.wikipedia.org/wiki/Eagle_Butte_crater
Elbow;Saskatchewan;8;395 ± 25;50.9833;-106.7167;https://en.wikipedia.org/wiki/Elbow_crater
Gow;Saskatchewan;4;< 250;56.4500;-104.4833;https://en.wikipedia.org/wiki/Gow_crater
Haughton;Nunavut;23;39;75.3833;-89.6667;https://en.wikipedia.org/wiki/Haughton_impact_crater
Holleford;Ontario;2.35;550 ± 100;44.4667;-76.6333;https://en.wikipedia.org/wiki/Holleford_crater
Île Rouleau;Quebec;4;< 300;50.6833;-73.8833;https://en.wikipedia.org/wiki/%C3%8Ele_Rouleau_crater
La Moinerie;Quebec;8;400 ± 50;57.4333;-66.6167;https://en.wikipedia.org/wiki/La_Moinerie_crater
Lac à l'Eau Claire Est;Quebec;26;460–470;56.0667;-74.1000;https://en.wikipedia.org/wiki/Clearwater_Lakes
Clearwater East;Quebec;26;460–470;56.0667;-74.1000;
Lac à l'Eau Claire Ouest;Quebec;36;286.2 ± 2.6;56.2167;-74.5000;https://en.wikipedia.org/wiki/Clearwater_Lakes
Clearwater West;Quebec;36;286.2 ± 2.6;56.2167;-74.5000;
Manicouagan;Quebec;100;214 ± 1;51.3833;-68.7000;https://en.wikipedia.org/wiki/Manicouagan_crater
Maple Creek;Saskatchewan;6;< 75;49.8000;-109.1000;https://en.wikipedia.org/wiki/Maple_Creek_crater
Mistastin;Newfoundland and Labrador;28;36.4 ± 4;55.8833;-63.3000;https://en.wikipedia.org/wiki/Mistastin_crater
Montagnais;Nova Scotia;45;50.50 ± 0.76;42.8833;-64.2167;https://en.wikipedia.org/wiki/Montagnais_crater
Nicholson;Northwest Territories;12.5;< 400;62.6667;-102.6833;https://en.wikipedia.org/wiki/Nicholson_crater
Pilot;Northwest Territories;6;445 ± 2;60.2833;-111.0000;https://en.wikipedia.org/wiki/Pilot_crater
Pingualuit;Quebec;3.44;1.4 ± 0.1;61.2833;-73.6667;https://en.wikipedia.org/wiki/Pingualuit_crater
Presqu'île;Quebec;24;< 500;49.7167;-74.8000;https://en.wikipedia.org/wiki/Presqu%27%C3%AEle_crater
Tunnunik;Northwest Territories;25;~130-350;72.4667;-113.9333;https://en.wikipedia.org/wiki/Tunnunik_impact_crater
Saint Martin;Manitoba;40;220 ± 32;51.7833;-98.5333;https://en.wikipedia.org/wiki/Saint_Martin_crater
Slate Islands;Ontario;30;about 450;48.6667;-87.0000;https://en.wikipedia.org/wiki/Slate_Islands_(Ontario)
Steen River;Alberta;25;91 ± 7;59.5000;-117.6333;https://en.wikipedia.org/wiki/Steen_River_crater
Sudbury;Ontario;250;1850 ± 3;46.6000;-81.1833;https://en.wikipedia.org/wiki/Sudbury_Basin
Viewfield;Saskatchewan;2.5;190 ± 20;49.5833;-103.0667;https://en.wikipedia.org/wiki/Viewfield_crater
Wanapitei;Ontario;7.5;37.2 ± 1.2;46.7500;-80.7500;https://en.wikipedia.org/wiki/Lake_Wanapitei
West Hawk;Manitoba;2.44;351 ± 20;49.7667;-95.1833;https://en.wikipedia.org/wiki/West_Hawk_crater
Whitecourt;Alberta;0.04;<0.0011;54.0000;-115.6000;https://en.wikipedia.org/wiki/Whitecourt_crater
Chicxulub;Yucatan;170;64.98 ± 0.05;21.3333;-89.5000;https://en.wikipedia.org/wiki/Chicxulub_Crater
Ames;Oklahoma;16;470 ± 30;36.2500;-98.2000;https://en.wikipedia.org/wiki/Ames_crater
Avak;Alaska;12;< 95;71.2500;-156.5000;https://en.wikipedia.org/wiki/Avak_crater
Barringer;Arizona;1.19;0.049 ± 0.003;35.0333;-111.0167;https://en.wikipedia.org/wiki/Meteor_Crater
Beaverhead;Idaho, Montana;60;600;44.2500;-114.0000;https://en.wikipedia.org/wiki/Beaverhead_impact_structure
Calvin;Michigan;8.5;450 ± 10;41.8333;-85.9500;https://en.wikipedia.org/wiki/Calvin_crater
Chesapeake Bay;Virginia;90;35.5 ± 0.3;37.2833;-76.0167;https://en.wikipedia.org/wiki/Chesapeake_Bay_impact_crater
Cloud Creek;Wyoming;7;190 ± 30;43.1167;-106.7500;https://en.wikipedia.org/wiki/Cloud_Creek_crater
Crooked Creek;Missouri;7;320 ± 80;37.8333;-91.3833;https://en.wikipedia.org/wiki/Crooked_Creek_crater
Decaturville;Missouri;6;< 300;37.9000;-92.7167;https://en.wikipedia.org/wiki/Decaturville_crater
Des Plaines;Illinois;8;< 280;42.0500;-87.8667;https://en.wikipedia.org/wiki/Des_Plaines_crater
Flynn Creek;Tennessee;3.8;360 ± 20;36.2833;-85.6667;https://en.wikipedia.org/wiki/Flynn_Creek_crater
Glasford;Illinois;4;< 430;40.6000;-89.7833;https://en.wikipedia.org/wiki/Glasford_crater
Glover Bluff;Wisconsin;8;< 500;43.9667;-89.5333;https://en.wikipedia.org/w/index.php?title=Glover_Bluff_crater&action=edit&redlink=1
Haviland;Kansas;0.015;< 0.001;37.5833;-99.1667;https://en.wikipedia.org/wiki/Haviland_Crater
Kentland;Indiana;13;< 97;40.7500;-87.4000;https://en.wikipedia.org/wiki/Kentland_crater
Manson;Iowa;35;73.8 ± 0.3;42.5833;-94.5500;https://en.wikipedia.org/wiki/Manson_crater
Marquez;Texas;12.7;58 ± 2;31.2833;-96.3000;https://en.wikipedia.org/wiki/Marquez_crater
Middlesboro;Kentucky;6;< 300;36.6167;-83.7333;https://en.wikipedia.org/wiki/Middlesboro_crater
Newporte;North Dakota;3.2;< 500;48.9667;-101.9667;https://en.wikipedia.org/wiki/Newporte_crater
Odessa;Texas;0.168;< 0.050;31.7500;-102.4833;https://en.wikipedia.org/wiki/Odessa_Meteor_Crater
Red Wing;North Dakota;9;200 ± 25;47.6000;-103.5500;https://en.wikipedia.org/wiki/Red_Wing_crater
Rock Elm;Wisconsin;6;< 505;44.7167;-92.2333;https://en.wikipedia.org/wiki/Rock_Elm_Disturbance
Santa Fe;New Mexico;(6-13);<1200;35.7500;-105.9333;https://en.wikipedia.org/wiki/Santa_Fe_impact_structure
Serpent Mound;Ohio;8;< 320;39.0333;-83.4000;https://en.wikipedia.org/wiki/Serpent_Mound_crater
Sierra Madera;Texas;13;< 100;30.6000;-102.9167;https://en.wikipedia.org/wiki/Sierra_Madera_crater
Upheaval Dome;Utah;10;< 170;38.4333;-109.9333;https://en.wikipedia.org/wiki/Upheaval_Dome
Wells Creek;Tennessee;12;200 ± 100;36.3833;-87.6667;https://en.wikipedia.org/wiki/Wells_Creek_crater
Wetumpka;Alabama;7.6;~83;32.5167;-86.1667;https://en.wikipedia.org/wiki/Wetumpka_crater
